Date,Suez Canal,Strait of Hormuz
Sep-2023,136,
Oct-2023,143,
Nov-2023,142,
Dec-2023,119,
Jan-2024,63,195
Feb-2024,47,188
Mar-2024,45,204
Apr-2024,45,189
May-2024,46,193
Jun-2024,42,183
Jul-2024,43,195
Aug-2024,46,199
Sep-2024,42,194
Oct-2024,41,195
Nov-2024,39,196
Dec-2024,39,199
Jan-2025,41,208
Feb-2025,34,184
Mar-2025,44,201
Apr-2025,42,197
May-2025,43,196
Jun-2025,41,192
