mmsi,imo,name,flag,sanctioned,false_flag,date_added,fleet
352002860,9251810,BLUEBELL (EX: CROSS OCEAN)‡,CURACAO,False,True,2024-10-31,Iran
511100464,9267132,BOCEANICA‡,UNKNOWN,False,False,2022-12-01,Iran
613003728,9144782,"BODHI (EX: ROBON, TURBA, PELICAN)",CAMEROON,False,False,2021-09-30,Iran
511100387,9220914,"BONETTA (EX: BRANDLY, BIRDHUM)",COOK ISLANDS,False,False,2024-04-30,Iran
354451000,9259355,BREEZE V,BARBADOS,False,False,2022-12-01,Iran
374670000,9171503,BRIGHT GOLD,PANAMA,False,False,2025-01-31,Iran
621819070,9282443,BUENO‡,UNKNOWN,False,False,2022-12-01,Iran
477632800,9252436,CALLISTO (EX: STARRY),HONG KONG,False,False,2024-01-31,Iran
341575000,9070072,CAMELIA (EX: CAROL)‡,GUYANA,False,True,2024-10-31,Iran
419001990,9299680,CANGJIE‡,INDIA,False,False,,Iran
574005290,9258882,"CARCHARODON (EX: MILA, LEGEND)",PALAU,False,False,2022-07-31,Iran
352001522,9410234,CARINA I (EX: AFRODITA I),UNKNOWN,False,False,2022-12-01,Iran
511101127,9137648,CARUZO,SIERRA LEONE,False,False,2024-01-31,Iran
352001485,9310159,CATALINA 7,UNKNOWN,True,False,2023-12-01,Iran
67705430,9005493,CAYKA (EX: MARINA)‡,TANZANIA,False,False,2024-09-30,Iran
352003955,9276585,CH BILLION,UNKNOWN,True,False,2024-09-30,Iran
35796400,9212400,CHAMTANG‡,UNKNOWN,False,False,2025-02-28,Iran
548923200,9633501,CHELSEA PROVIDENCE,PHILIPPINES,False,False,2025-01-31,Iran
51899838,9240914,CHEM,UNKNOWN,True,False,2024-03-01,Iran
351643000,9171498,CHIL 1 (EX: CHILTERN),GAMBIA,True,False,2023-06-30,Iran
626188000,9242481,CHINTAMANI,COOK ISLANDS,False,False,2024-04-30,Iran
621819069,9221657,BLUEFINS‡,TANZANIA,False,False,2022-12-01,Iran
577338000,9183300,ENZO (EX: HESTIA),UNKNOWN,False,False,2022-02-01,Iran
613003744,9183271,IONA (EX: CALYPSO),CAMEROON,False,False,2021-10-29,Iran
671409100,9188788,"JAL GAMINI (EX: PUTRI SAMUDRA, KANHA PRIDE)",UNKNOWN,False,False,2022-05-31,Iran
341673000,9160530,RIALTO (EX: KAIRO 1),COMOROS,False,False,2022-12-01,Iran
620725000,8617055,SIMBA (ex ORE),SAMOA,False,True,2020-11-12,Iran
574005200,9253064,SOTHYS,UNKNOWN,False,False,2021-11-30,Iran
355889000,7230666,WHITE PURL,UNKNOWN,False,False,2020-11-12,Iran
314968000,9316127,,,False,False,,Rosja
314984000,9412335,,,False,False,,Rosja
314967000,9311622,,,False,False,,Rosja
352004581,9271585,,,False,False,,Rosja
314983000,9511521,,,False,False,,Rosja
314919000,9511533,,,False,False,,Rosja
626244000,9321691,,,False,False,,Rosja
626315000,9321706,,,False,False,,Rosja
352004885,9319870,,,False,False,,Rosja
352002470,9253325,,,False,False,,Rosja
273250930,9341093,,,False,False,,Rosja
314979000,9522324,,,False,False,,Rosja
314966000,9511387,,,False,False,,Rosja
314892000,9339337,,,False,False,,Rosja
273251530,9413559,,,False,False,,Rosja
314906000,9843560,,,False,False,,Rosja
